,State,Assembly Constituency,Winner,Winner Party,Winner Votes,Runner-up,Runner-up Party,Runner-up Votes,Margin
123,Tamil Nadu,TIRUVALLUR,Sasikanth Senthil,Indian National Congress,796956,"Balaganapathy, V. Pon",Bharatiya Janata Party,224801,572155
124,Tamil Nadu,CHENNAI NORTH,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,497333,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,158111,339222
125,Tamil Nadu,CHENNAI SOUTH,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,516628,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,290683,225945
126,Tamil Nadu,CHENNAI CENTRAL,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,413848,VINOJ,Bharatiya Janata Party,169159,244689
127,Tamil Nadu,SRIPERUMBUDUR,T R BAALU,Dravida Munnetra Kazhagam,758611,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,271582,487029
128,Tamil Nadu,KANCHEEPURAM,SELVAM. G,Dravida Munnetra Kazhagam,586044,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,364571,221473
129,Tamil Nadu,ARAKKONAM,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,563216,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,256657,306559
130,Tamil Nadu,VELLORE,DM KATHIR ANAND,Dravida Munnetra Kazhagam,568692,AC SHANMUGAM,Bharatiya Janata Party,352990,215702
131,Tamil Nadu,KRISHNAGIRI,GOPINATH K,Indian National Congress,492883,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,300397,192486
132,Tripura,Tripura West,BIPLAB KUMAR DEB,Bharatiya Janata Party,881341,ASISH KUMAR SAHA,Indian National Congress,269763,611578
133,Tripura,Tripura East,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,777447,RAJENDRA REANG,Communist Party of India  (Marxist),290628,486819
134,Uttar Pradesh,Saharanpur,IMRAN MASOOD,Indian National Congress,547967,RAGHAV LAKHANPAL,Bharatiya Janata Party,483425,64542
