,State,Assembly Constituency,Winner,Winner Party,Winner Votes,Runner-up,Runner-up Party,Runner-up Votes,Margin
394,Uttar Pradesh,Azamgarh,DHARMENDRA YADAV,Samajwadi Party,508239,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,347204,161035
395,Uttar Pradesh,Ghosi,RAJEEV RAI,Samajwadi Party,503131,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,340188,162943
396,Uttar Pradesh,Salempur,RAMASHANKAR RAJBHAR,Samajwadi Party,405472,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,401899,3573
397,Uttar Pradesh,Ballia,SANATAN PANDEY,Samajwadi Party,467068,NEERAJ SHEKHAR,Bharatiya Janata Party,423684,43384
398,Uttar Pradesh,Jaunpur,BABU SINGH KUSHWAHA,Samajwadi Party,509130,KRIPASHANKAR SINGH,Bharatiya Janata Party,409795,99335
399,Uttar Pradesh,Machhlishahr,PRIYA SAROJ,Samajwadi Party,451292,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,415442,35850
400,Uttar Pradesh,Ghazipur,AFZAL ANSARI,Samajwadi Party,539912,PARS NATH RAI,Bharatiya Janata Party,415051,124861
401,Uttar Pradesh,Chandauli,BIRENDRA SINGH,Samajwadi Party,474476,DR. MAHENDRA NATH  PANDEY,Bharatiya Janata Party,452911,21565
402,Uttar Pradesh,Varanasi,NARENDRA MODI,Bharatiya Janata Party,612970,AJAY RAI,Indian National Congress,460457,152513
403,Uttar Pradesh,Bhadohi,DR. VINOD KUMAR BIND,Bharatiya Janata Party,459982,LALITESHPATI TRIPATHI,All India Trinamool Congress,415910,44072
404,Uttar Pradesh,Mirzapur,ANUPRIYA PATEL,Apna Dal (Soneylal),471631,RAMESH CHAND BIND,Samajwadi Party,433821,37810
405,Uttar Pradesh,Robertsganj,CHHOTELAL,Samajwadi Party,465848,RINKI SINGH,Apna Dal (Soneylal),336614,129234
406,West Bengal,Baharampur,PATHAN YUSUF,All India Trinamool Congress,524516,ADHIR RANJAN CHOWDHURY,Indian National Congress,439494,85022
407,West Bengal,Murshidabad,ABU TAHER KHAN,All India Trinamool Congress,682442,MD SALIM,Communist Party of India  (Marxist),518227,164215
408,West Bengal,Krishnanagar,MAHUA MOITRA,All India Trinamool Congress,628789,AMRITA ROY,Bharatiya Janata Party,572084,56705
409,West Bengal,Ranaghat,JAGANNATH SARKAR,Bharatiya Janata Party,782396,MUKUT MANI ADHIKARI,All India Trinamool Congress,595497,186899
410,West Bengal,Bangaon,SHANTANU THAKUR,Bharatiya Janata Party,719505,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,645812,73693
411,West Bengal,Barrackpur,PARTHA BHOWMICK,All India Trinamool Congress,520231,ARJUN SINGH,Bharatiya Janata Party,455793,64438
412,West Bengal,Dum dum,SOUGATA RAY,All India Trinamool Congress,528579,SILBHADRA DATTA,Bharatiya Janata Party,457919,70660
413,West Bengal,Barasat,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,692010,SWAPAN MAJUMDER,Bharatiya Janata Party,577821,114189
414,West Bengal,Basirhat,SK NURUL ISLAM,All India Trinamool Congress,803762,REKHA PATRA,Bharatiya Janata Party,470215,333547
415,West Bengal,Joynagar,PRATIMA MONDAL,All India Trinamool Congress,894312,ASHOK KANDARY,Bharatiya Janata Party,424093,470219
416,West Bengal,Mathurapur,BAPI HALDAR,All India Trinamool Congress,755731,ASHOK PURKAIT,Bharatiya Janata Party,554674,201057
417,West Bengal,Diamond harbour,ABHISHEK BANERJEE,All India Trinamool Congress,1048230,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,337300,710930
418,West Bengal,Jadavpur,SAYANI GHOSH,All India Trinamool Congress,717899,DR. ANIRBAN GANGULY,Bharatiya Janata Party,459698,258201
419,West Bengal,Kolkata Dakshin,MALA ROY,All India Trinamool Congress,615274,DEBASREE CHAUDHURI,Bharatiya Janata Party,428043,187231
420,West Bengal,Kolkata Uttar,BANDYOPADHYAY SUDIP,All India Trinamool Congress,454696,TAPAS ROY,Bharatiya Janata Party,362136,92560
421,West Bengal,Howrah,PRASUN BANERJEE,All India Trinamool Congress,626493,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party,457051,169442
422,West Bengal,Uluberia,SAJDA AHMED,All India Trinamool Congress,724622,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,505949,218673
